Month,Packing band,Flasher,Monofilament,Rubber band,Rope,Hook and Line,Netting,Unknown,Scar
1,0.166666667,0,0,0,0,0,0,0.416666667,0.416666667
2,0.25,0,0,0.083333333,0,0,0,0.25,0.416666667
3,0.2,0,0,0.066666667,0,0,0,0.333333333,0.4
4,0.157894737,0,0.105263158,0.157894737,0,0.105263158,0,0.157894737,0.315789474
5,0.347826087,0,0.02173913,0.02173913,0,0.02173913,0.02173913,0.369565217,0.195652174
6,0.280898876,0.056179775,0.033707865,0.011235955,0,0,0.02247191,0.404494382,0.191011236
7,0.378787879,0.075757576,0.03030303,0,0.03030303,0,0,0.393939394,0.090909091
8,0.355263158,0.118421053,0,0.039473684,0,0,0,0.407894737,0.078947368
9,0.237623762,0.04950495,0.04950495,0.01980198,0.03960396,0,0,0.415841584,0.188118812
10,0.12,0,0.02,0,0,0,0,0.42,0.44
11,0.307692308,0,0.153846154,0,0,0,0,0.230769231,0.307692308
12,0,0,0,0,0,0,0,0,1
