Year,Packing band,Flasher,Monofilament,Rubber band,Rope,Hook and Line,Netting,Unknown,Scar
2010,0.4,0.166666667,0.033333333,0.066666667,0.033333333,0.033333333,0,0.2,0.066666667
2011,0.3125,0.020833333,0.0625,0.0625,0,0.020833333,0,0.333333333,0.1875
2012,0.2,0.046153846,0.076923077,0.030769231,0,0,0,0.369230769,0.276923077
2013,0.32183908,0.022988506,0.045977011,0.011494253,0.011494253,0.011494253,0,0.413793103,0.16091954
2014,0.338461538,0,0,0.015384615,0.061538462,0,0.030769231,0.461538462,0.092307692
2015,0.204545455,0.045454545,0.022727273,0.022727273,0,0,0,0.590909091,0.113636364
2016,0.322580645,0.016129032,0,0,0,0,0,0.306451613,0.35483871
2017,0.184615385,0.107692308,0,0,0,0,0,0.338461538,0.369230769
2018,0.194444444,0.083333333,0.055555556,0.055555556,0,0,0.027777778,0.361111111,0.222222222
