Month,Packing band,Flasher,Monofilament,Rubber band,Hook and Line,Netting,Rope,Unknown,Scar
1,0.181818182,0,0,0,0,0,0,0.363636364,0.454545455
2,0.25,0,0,0.083333333,0,0,0,0.25,0.416666667
3,0.2,0,0,0.066666667,0,0,0,0.333333333,0.4
4,0.157894737,0,0.105263158,0.157894737,0.105263158,0,0,0.157894737,0.315789474
5,0.333333333,0,0.025641026,0.025641026,0.025641026,0.025641026,0,0.384615385,0.179487179
6,0.254237288,0.06779661,0.050847458,0.016949153,0,0.033898305,0,0.355932203,0.220338983
7,0.410714286,0.071428571,0.017857143,0,0,0,0,0.392857143,0.107142857
8,0.365079365,0.142857143,0,0.047619048,0,0,0,0.380952381,0.063492063
9,0.275862069,0.068965517,0.034482759,0.034482759,0,0,0.017241379,0.362068966,0.206896552
10,0.055555556,0,0.055555556,0,0,0,0,0.277777778,0.611111111
11,0.5,0,0,0,0,0,0,0.25,0.25
12,0,0,0,0,0,0,0,0,1
