Year,Packing band,Flasher,Rubber band,Monofilament,Hook and Line,Netting,Rope,Unknown,Scar
2010,0.407407407,0.185185185,0.074074074,0,0.037037037,0,0,0.222222222,0.074074074
2011,0.34375,0.03125,0.09375,0.03125,0.03125,0,0,0.3125,0.15625
2012,0.25,0.09375,0.0625,0.0625,0,0,0,0.1875,0.34375
2013,0.337837838,0.027027027,0.013513514,0.054054054,0.013513514,0,0,0.391891892,0.162162162
2014,0.354166667,0,0.020833333,0,0,0.041666667,0.020833333,0.479166667,0.083333333
2015,0.21875,0.0625,0.03125,0.03125,0,0,0,0.5,0.15625
2016,0.256410256,0.025641026,0,0,0,0,0,0.307692308,0.41025641
2017,0.230769231,0.102564103,0,0,0,0,0,0.256410256,0.41025641
2018,0.176470588,0.088235294,0.058823529,0.058823529,0,0.029411765,0,0.352941176,0.235294118
