Year,Species,Count,CI
2010,Steller,407.8666667,28.00398449
2011,Steller,520.7407407,44.8445649
2012,Steller,579.525,40.24158729
2013,Steller,558.5,38.37573148
2014,Steller,742.9666667,23.54731194
2015,Steller,708.1,74.7758409
2016,Steller,730.5416667,64.54695721
2017,Steller,709.7777778,99.27795679
2010,California,363.1333333,69.8034792
2011,California,351.9074074,112.9275377
2012,California,459.25,93.2600687
2013,California,373.9259259,113.6158278
2014,California,352.7,86.09829909
2015,California,422.3,86.86323935
2016,California,473.6666667,94.85100794
2017,California,626.5,140.2967694
