Year_Month,Species,Year,Month,Flasher,Hook_Line,Monofilament,Netting,Packing_band,Rope,Rubber_band,Scar,Unknown,Total
2010_3,Ej,2010,3,,,,,,,,,1,1
2010_5,Ej,2010,5,,1,,,1,,,,2,4
2010_7,Ej,2010,7,,,,,2,,,,,2
2010_8,Ej,2010,8,4,,,,3,,1,,1,9
2010_9,Ej,2010,9,1,,,,5,,1,2,2,11
2011_10,Ej,2011,10,,,,,,,,1,,1
2011_11,Ej,2011,11,,,,,2,,,1,,3
2011_4,Ej,2011,4,,1,,,,,1,2,,4
2011_5,Ej,2011,5,,,1,,3,,1,1,3,9
2011_6,Ej,2011,6,1,,,,4,,,,1,6
2011_7,Ej,2011,7,,,,,1,,,,3,4
2011_8,Ej,2011,8,,,,,1,,1,,1,3
2011_9,Ej,2011,9,,,,,,,,,2,2
2012_10,Ej,2012,10,,,1,,,,,2,,3
2012_12,Ej,2012,12,,,,,,,,1,,1
2012_2,Ej,2012,2,,,,,,,1,,,1
2012_3,Ej,2012,3,,,,,2,,,2,,4
2012_4,Ej,2012,4,,,,,2,,1,2,,5
2012_5,Ej,2012,5,,,,,1,,,,,1
2012_6,Ej,2012,6,2,,,,,,,2,2,6
2012_7,Ej,2012,7,1,,,,,,,,1,2
2012_8,Ej,2012,8,,,,,2,,,,1,3
2012_9,Ej,2012,9,,,1,,1,,,2,2,6
2013_1,Ej,2013,1,,,,,,,,2,,2
2013_10,Ej,2013,10,,,,,,,,,1,1
2013_2,Ej,2013,2,,,,,,,,1,,1
2013_3,Ej,2013,3,,,,,,,,2,2,4
2013_4,Ej,2013,4,,1,1,,1,,,1,1,5
2013_5,Ej,2013,5,,,,,,,,,5,5
2013_6,Ej,2013,6,1,,3,,5,,,2,6,17
2013_7,Ej,2013,7,,,,,7,,,2,7,16
2013_8,Ej,2013,8,1,,,,7,,1,2,4,15
2013_9,Ej,2013,9,,,,,5,,,,3,8
2014_5,Ej,2014,5,,,,,2,,,1,,3
2014_6,Ej,2014,6,,,,2,3,,,2,5,12
2014_7,Ej,2014,7,,,,,8,,,,7,15
2014_8,Ej,2014,8,,,,,4,,,,7,11
2014_9,Ej,2014,9,,,,,,1,1,1,4,7
2015_1,Ej,2015,1,,,,,1,,,1,4,6
2015_10,Ej,2015,10,,,,,,,,,1,1
2015_11,Ej,2015,11,,,,,,,,,1,1
2015_2,Ej,2015,2,,,,,2,,,1,2,5
2015_4,Ej,2015,4,,,,,,,,,1,1
2015_5,Ej,2015,5,,,,,3,,,2,1,6
2015_6,Ej,2015,6,,,,,,,1,,4,5
2015_7,Ej,2015,7,1,,1,,1,,,1,1,5
2015_8,Ej,2015,8,1,,,,,,,,,1
2015_9,Ej,2015,9,,,,,,,,,1,1
2016_1,Ej,2016,1,,,,,1,,,1,,2
2016_10,Ej,2016,10,,,,,1,,,3,,4
2016_12,Ej,2016,12,,,,,,,,2,,2
2016_3,Ej,2016,3,,,,,,,,,1,1
2016_5,Ej,2016,5,,,,,2,,,3,4,9
2016_6,Ej,2016,6,,,,,,,,1,1,2
2016_7,Ej,2016,7,1,,,,1,,,2,2,6
2016_8,Ej,2016,8,,,,,3,,,,1,4
2016_9,Ej,2016,9,,,,,2,,,4,3,9
2017_1,Ej,2017,1,,,,,,,,1,,1
2017_10,Ej,2017,10,,,,,,,,5,3,8
2017_2,Ej,2017,2,,,,,1,,,2,,3
2017_6,Ej,2017,6,,,,,2,,,6,,8
2017_7,Ej,2017,7,1,,,,2,,,,,3
2017_8,Ej,2017,8,1,,,,3,,,,5,9
2017_9,Ej,2017,9,2,,,,1,,,2,2,7
2018_2,Ej,2018,2,,,,,,,,1,1,2
2018_3,Ej,2018,3,,,,,1,,1,2,1,5
2018_4,Ej,2018,4,,,1,,,,1,1,1,4
2018_5,Ej,2018,5,,,,1,1,,,,,2
2018_6,Ej,2018,6,,,,,1,,,,2,3
2018_7,Ej,2018,7,,,,,1,,,1,1,3
2018_8,Ej,2018,8,2,,,,,,,2,4,8
2018_9,Ej,2018,9,1,,1,,2,,,1,2,7
2010_6,Zc,2010,6,,,,,1,,,,,1
2010_7,Zc,2010,7,,,1,,,,,,,1
2010_9,Zc,2010,9,,,,,,1,,,,1
2011_11,Zc,2011,11,,,2,,2,,,2,2,8
2011_5,Zc,2011,5,,,,,1,,,2,1,4
2011_6,Zc,2011,6,,,,,,,,,2,2
2011_8,Zc,2011,8,,,,,1,,,,1,2
2012_10,Zc,2012,10,,,,,,,,1,6,7
2012_11,Zc,2012,11,,,,,,,,1,,1
2012_6,Zc,2012,6,,,,,3,,,2,3,8
2012_7,Zc,2012,7,,,,,,,,,1,1
2012_9,Zc,2012,9,,,3,,2,,,3,8,16
2013_10,Zc,2013,10,,,,,,,,,1,1
2013_6,Zc,2013,6,,,,,2,,,1,,3
2013_8,Zc,2013,8,,,,,,,,1,3,4
2013_9,Zc,2013,9,,,,,1,1,,,3,5
2014_5,Zc,2014,5,,,,,,,,,1,1
2014_6,Zc,2014,6,,,,,2,,,1,2,5
2014_7,Zc,2014,7,,,,,,2,,,,2
2014_8,Zc,2014,8,,,,,3,,,1,2,6
2014_9,Zc,2014,9,,,,,,1,,,2,3
2015_1,Zc,2015,1,,,,,,,,,1,1
2015_5,Zc,2015,5,,,,,1,,,,,1
2015_6,Zc,2015,6,,,,,,,,,4,4
2015_7,Zc,2015,7,,,,,1,,,,,1
2015_9,Zc,2015,9,,,,,,,,,5,5
2016_10,Zc,2016,10,,,,,5,,,4,4,13
2016_7,Zc,2016,7,,,,,1,,,,3,4
2016_9,Zc,2016,9,,,,,4,,,2,,6
2017_10,Zc,2017,10,,,,,,,,6,5,11
2017_6,Zc,2017,6,1,,,,2,,,,4,7
2017_7,Zc,2017,7,1,,,,,,,,,1
2017_9,Zc,2017,9,1,,,,1,,,2,3,7
2018_5,Zc,2018,5,,,,,1,,,,,1
2018_8,Zc,2018,8,,,,,,,,,1,1
